Order_ID,Order_Date,City,Category,Product,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Payment_Mode,Rating,Delivery_Days
1001,2025-01-01,Chennai,Furniture,Sofa,4,17396,0,69584.0,46310.58,23273.42,Card,5,5
1002,2025-01-02,Pune,Grocery,Snacks,3,46675,0,140025.0,92774.12,47250.88,Cash,5,5
1003,2025-01-03,Hyderabad,Electronics,Headphones,1,8305,25,6228.75,3627.01,2601.74,Net Banking,5,4
1004,2025-01-04,Hyderabad,Furniture,Chair,4,5737,0,22948.0,16485.86,6462.14,Net Banking,4,6
1005,2025-01-05,Bengaluru,Furniture,Bed,6,20556,20,98668.8,78019.85,20648.95,UPI,5,3
1006,2025-01-06,Pune,Grocery,Rice,4,46043,25,138129.0,100707.09,37421.91,Card,5,9
1007,2025-01-07,Delhi,Electronics,Smart Watch,6,57056,25,256752.0,155320.12,101431.88,Cash,3,5
1008,2025-01-08,Pune,Electronics,Smart Watch,3,3843,10,10376.1,7077.02,3299.08,UPI,5,3
1009,2025-01-09,Surat,Furniture,Table,6,14000,0,84000.0,46276.29,37723.71,Card,1,1
1010,2025-01-10,Chennai,Clothing,Shirt,1,53722,10,48349.8,41286.15,7063.65,UPI,4,10
1011,2025-01-11,Chennai,Furniture,Sofa,3,29875,15,450000.0,292500.0,157500.0,Net Banking,3,6
1012,2025-01-12,Surat,Furniture,Sofa,1,10162,5,9653.9,7327.77,2326.13,Card,2,2
1013,2025-01-13,Pune,Furniture,Chair,5,17464,25,65490.0,58625.99,6864.01,UPI,1,3
1014,2025-01-14,Surat,Furniture,Sofa,2,60138,15,102234.6,75429.38,26805.22,UPI,4,1
1015,2025-01-15,Mumbai,Grocery,Oil,6,74166,15,378246.6,330366.11,47880.49,Cash,3,9
1016,2025-01-16,Surat,Electronics,Laptop,2,67715,20,108344.0,68542.83,39801.17,UPI,4,8
1017,2025-01-17,Hyderabad,Grocery,Snacks,2,69542,5,132129.8,107815.85,24313.95,Card,1,2
1018,2025-01-18,Surat,Grocery,Rice,6,13784,15,70298.4,51735.62,18562.78,Card,3,8
1019,2025-01-19,Chennai,Grocery,Snacks,3,73289,15,186886.95,149917.09,36969.86,Cash,4,9
1020,2025-01-20,Hyderabad,Furniture,Sofa,5,61889,5,293972.75,168099.34,125873.41,Card,5,1
1021,2025-01-21,Chennai,Clothing,Shoes,1,9935,5,9438.25,5679.08,3759.17,Net Banking,3,5
1022,2025-01-22,Bengaluru,Electronics,Headphones,4,54840,15,186456.0,111237.96,75218.04,Card,4,8
1023,2025-01-23,Delhi,Clothing,Jeans,1,44578,5,42349.1,33477.3,8871.8,Card,5,2
1024,2025-01-24,Chennai,Grocery,Snacks,4,79332,15,269728.8,228070.33,41658.47,UPI,4,4
1025,2025-01-25,Hyderabad,Grocery,Tea,1,51793,15,44024.05,35763.63,8260.42,UPI,3,7
1026,2025-01-26,Bengaluru,Clothing,Jeans,6,79281,20,380548.8,213360.49,167188.31,Card,1,3
1027,2025-01-27,Chennai,Clothing,Shirt,5,60903,0,304515.0,259911.24,44603.76,Cash,5,5
1028,2025-01-28,Mumbai,Clothing,Jeans,4,29624,15,100721.6,67881.46,32840.14,UPI,1,8
1029,2025-01-29,Surat,Grocery,Rice,7,44419,10,279839.7,192811.61,87028.09,Cash,5,10
1030,2025-01-30,Delhi,Grocery,Rice,3,35747,25,80430.75,47189.06,33241.69,Card,4,3
1031,2025-01-31,Chennai,Electronics,Mobile,1,63252,0,63252.0,51113.42,12138.58,Card,5,4
1032,2025-02-01,Bengaluru,Electronics,Smart Watch,1,57073,0,57073.0,35031.37,22041.63,Net Banking,5,9
1033,2025-02-02,Mumbai,Grocery,Snacks,4,59601,0,238404.0,178180.24,60223.76,UPI,5,7
1034,2025-02-03,Pune,Clothing,Jacket,3,27146,20,65150.4,55003.13,10147.27,Card,3,1
1035,2025-02-04,Bengaluru,Clothing,Jacket,3,23549,15,60049.95,34902.32,25147.63,Net Banking,5,4
1036,2025-02-05,Surat,Electronics,Smart Watch,6,68885,20,330648.0,243809.07,86838.93,UPI,3,4
1037,2025-02-06,Bengaluru,Grocery,Tea,7,40658,15,241915.1,152799.81,89115.29,Card,4,9
1038,2025-02-07,Mumbai,Electronics,Mobile,6,65917,20,316401.6,211996.79,104404.81,Card,4,6
1039,2025-02-08,Bengaluru,Electronics,Headphones,6,23789,20,114187.2,81745.42,32441.78,UPI,5,9
1040,2025-02-09,Mumbai,Furniture,Bed,6,10323,25,46453.5,31322.97,15130.53,UPI,5,6
